,SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
273,11553.0,244.95,260.0
274,11554.0,180.0,215.0
275,11555.0,269.0,324.0
276,11556.0,390.0,395.0
277,11557.0,385.0,385.0
278,11559.0,139.0,145.0
279,11560.0,1895.0,2176.0
280,11561.0,6319.0,7528.89
281,11562.0,2525.0,2530.0
282,11563.0,2300.0,2395.0
283,11564.0,3200.0,3400.0
284,11565.0,133.13,135.0
285,11566.0,139.0,165.0
286,11567.0,119.0,132.0
287,11568.0,99.0,177.0
288,11570.0,245.0,245.0
289,11571.0,190.0,190.0
290,11572.0,73.0,88.0
291,11573.0,73.0,88.0
292,11574.0,224.95,228.0
293,11575.0,142.0,151.0
294,11576.0,150.0,152.0
295,11577.0,129.0,162.0
296,11578.0,120.0,129.0
297,11579.0,114.95,129.0
298,11580.0,152.0,155.0
299,11581.0,74.98,137.0
300,11582.0,105.0,149.99
301,11583.0,209.0,209.0
302,11584.0,129.99,209.0
303,11585.0,75.0,81.95
304,11586.0,139.0,145.0
305,11587.0,129.0,130.0
306,11588.0,236.0,249.0
307,11589.0,155.0,155.0
308,11590,0.0,0
309,11592.0,158.0,163.0
310,11593.0,389.0,395.0
311,11594.0,325.0,329.0
312,11595.0,99.0,184.94
313,11596.0,194.94,196.0
314,11597.0,202.0,219.95
315,11598.0,169.0,175.0
316,11599.0,145.0,185.0
317,11600.0,240.0,247.0
318,11601.0,182.0,219.65
319,11602,500.0,Nan
320,11603.0,135.0,247.0
321,11604.0,395.0,449.99
322,11605.0,430.0,499.99
323,11606.0,158.0,191.0
324,11607.0,239.0,329.99
325,11608.0,333.33,506.0
326,11609.0,455.0,473.99
327,11610.0,470.0,475.0
328,11611.0,152.0,990.0
329,11612.0,145.0,274.97
330,11613.0,149.99,166.0
331,11614.0,109.0,180.0
332,11615.0,259.99,274.94
333,11616.0,455.0,459.98
334,11617,127.0,Nan
335,11618.0,299.95,316.0
336,11619.0,221.0,350.0
337,11620.0,145.0,152.0
338,11621.0,215.0,229.0
339,11622.0,485.0,499.0
340,11624.0,500.0,525.0
341,11625.0,750.0,949.0
